Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,4.1200000000000045,0.97,-1.78,Left turn,
0.07164,2.75,1.59,-1.85,Left turn,
0.170192,2.5600000000000023,1.84,-1.78,Left turn,
0.271747,2.6899999999999977,2.15,-1.53,Left turn,
0.370298,2.1200000000000045,2.53,-1.47,Left turn,
0.47202,1.8699999999999974,2.78,-1.35,Left turn,
0.57065,2.6300000000000026,2.84,-0.97,Left turn,
0.669253,2.5,3.22,-0.66,Left turn,
0.770859,-0.8799999999999999,4.03,-0.28,Left turn,
0.869429,-2.07,4.78,0.09,Left turn,
0.970972,-2.81,5.22,0.34,Left turn,
1.069531,-5.25,5.22,0.53,Left turn,
1.171052,-7.690000000000001,5.53,0.72,Left turn,
1.269612,-8.75,5.97,0.78,Left turn,
1.371154,-9.809999999999999,6.34,0.9,Left turn,
1.469865,-11.240000000000002,6.59,0.72,Left turn,
1.571438,-9.740000000000002,5.72,0.34,Left turn,
1.670019,-6.559999999999999,4.28,0.15,Left turn,
1.771589,-5.4399999999999995,4.03,0.28,Left turn,
1.870167,-5.0,4.09,0.22,Left turn,
1.971745,-5.0,4.15,0.47,Left turn,
2.070364,-4.9300000000000015,4.53,0.9,Left turn,
2.172034,-5.75,5.09,1.47,Left turn,
2.270702,-7.1899999999999995,5.97,1.84,Left turn,
2.36938,-10.32,7.03,2.53,Left turn,
2.472052,-15.190000000000001,8.65,3.53,Left turn,
2.570689,-19.569999999999997,10.34,4.22,Left turn,
2.669341,-22.31,11.59,4.78,Left turn,
2.770964,-24.500000000000004,12.47,5.22,Left turn,
2.869629,-26.069999999999997,13.22,5.53,Left turn,
2.971278,-25.0,13.03,5.34,Left turn,
3.069928,-23.5,12.72,4.53,Left turn,
3.171606,-23.5,12.28,4.78,Left turn,
3.270284,-23.560000000000002,12.09,4.9,Left turn,
3.371929,-23.68,12.03,4.97,Left turn,
3.471001,-23.310000000000002,11.84,5.03,Left turn,
3.56964,-24.180000000000007,11.15,4.72,Left turn,
3.67122,-21.75,10.15,3.53,Left turn,
3.769815,-20.629999999999995,9.22,3.53,Left turn,
3.871363,-20.25,9.09,3.65,Left turn,
3.969965,-20.180000000000007,8.97,3.47,Left turn,
4.07155,-19.370000000000005,8.65,3.34,Left turn,
4.17013,-17.310000000000002,7.65,2.84,Left turn,
4.271708,-14.620000000000005,6.28,2.22,Left turn,
4.370342,-11.5,4.72,1.59,Left turn,
4.469826,-8.120000000000005,3.15,1.15,Left turn,
4.571468,-5.3799999999999955,1.97,0.65,Left turn,
4.67012,-3.930000000000007,1.28,0.4,Left turn,
4.771745,-1.8799999999999955,0.15,0.15,Left turn,
4.870365,-0.12000000000000455,-0.66,0.03,Left turn,
4.972,0.12000000000000455,-0.66,0.03,Left turn,
