Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.9999999999999996,-4.59,-5.96,CsL Sam low speed l;ow angle,
0.050427,-0.3700000000000001,-4.4,-6.03,CsL Sam low speed l;ow angle,
0.152483,-1.3699999999999997,-5.15,-6.9,CsL Sam low speed l;ow angle,
0.250671,2.0600000000000005,-7.4,-8.28,CsL Sam low speed l;ow angle,
0.351889,2.12,-7.28,-8.28,CsL Sam low speed l;ow angle,
0.450094,1.0700000000000003,-7.28,-8.46,CsL Sam low speed l;ow angle,
0.551263,0.6300000000000008,-7.78,-8.9,CsL Sam low speed l;ow angle,
0.652511,1.0,-8.4,-9.28,CsL Sam low speed l;ow angle,
0.750744,1.8099999999999987,-7.09,-8.15,CsL Sam low speed l;ow angle,
0.851972,-1.129999999999999,-5.78,-7.9,CsL Sam low speed l;ow angle,
0.950296,-0.620000000000001,-5.84,-8.09,CsL Sam low speed l;ow angle,
1.051545,1.0,-6.59,-8.09,CsL Sam low speed l;ow angle,
1.150283,1.0,-6.15,-7.71,CsL Sam low speed l;ow angle,
1.251471,1.879999999999999,-5.4,-6.84,CsL Sam low speed l;ow angle,
1.3527,0.370000000000001,-4.09,-5.96,CsL Sam low speed l;ow angle,
1.450916,-1.9400000000000013,-2.34,-5.15,CsL Sam low speed l;ow angle,
1.552159,-0.25,-1.84,-4.9,CsL Sam low speed l;ow angle,
1.650397,0.5,-2.4,-5.28,CsL Sam low speed l;ow angle,
1.751631,1.25,-3.34,-5.84,CsL Sam low speed l;ow angle,
1.85283,3.63,-4.53,-6.34,CsL Sam low speed l;ow angle,
1.951045,2.88,-4.15,-6.28,CsL Sam low speed l;ow angle,
2.052207,2.94,-3.96,-6.03,CsL Sam low speed l;ow angle,
2.150929,2.25,-3.59,-5.96,CsL Sam low speed l;ow angle,
2.252149,2.5,-3.71,-5.96,CsL Sam low speed l;ow angle,
2.350376,3.3099999999999996,-3.9,-5.84,CsL Sam low speed l;ow angle,
2.451549,2.5600000000000005,-3.03,-5.28,CsL Sam low speed l;ow angle,
2.552739,1.8099999999999996,-2.4,-4.78,CsL Sam low speed l;ow angle,
2.650949,2.6199999999999997,-2.46,-4.71,CsL Sam low speed l;ow angle,
2.752158,2.56,-2.15,-4.34,CsL Sam low speed l;ow angle,
2.850376,1.0,-1.21,-3.84,CsL Sam low speed l;ow angle,
2.951607,-1.31,-0.71,-3.84,CsL Sam low speed l;ow angle,
3.052781,-4.93,-1.46,-5.59,CsL Sam low speed l;ow angle,
3.15184,-4.87,-6.03,-10.28,CsL Sam low speed l;ow angle,
3.250103,1.3099999999999996,-14.15,-16.21,CsL Sam low speed l;ow angle,
3.351384,6.9399999999999995,-20.78,-20.71,CsL Sam low speed l;ow angle,
3.452624,10.120000000000001,-23.78,-23.09,CsL Sam low speed l;ow angle,
3.550895,10.810000000000002,-23.53,-23.03,CsL Sam low speed l;ow angle,
3.652112,8.74,-20.53,-21.28,CsL Sam low speed l;ow angle,
3.75042,7.75,-18.09,-19.78,CsL Sam low speed l;ow angle,
3.85168,8.619999999999997,-16.15,-18.15,CsL Sam low speed l;ow angle,
3.952977,6.940000000000001,-13.59,-16.03,CsL Sam low speed l;ow angle,
4.051311,6.5,-10.96,-14.21,CsL Sam low speed l;ow angle,
4.150369,4.9999999999999964,-8.59,-12.46,CsL Sam low speed l;ow angle,
4.252033,4.25,-6.9,-10.9,CsL Sam low speed l;ow angle,
4.350343,4.560000000000002,-5.34,-9.59,CsL Sam low speed l;ow angle,
4.451614,3.5700000000000003,-3.65,-8.21,CsL Sam low speed l;ow angle,
4.55288,2.5,-2.46,-7.34,CsL Sam low speed l;ow angle,
4.651122,2.8100000000000023,-1.9,-6.84,CsL Sam low speed l;ow angle,
4.752354,2.5700000000000003,-1.4,-6.34,CsL Sam low speed l;ow angle,
4.850584,1.8200000000000003,-0.96,-6.03,CsL Sam low speed l;ow angle,
4.951801,1.6299999999999955,-0.65,-5.78,CsL Sam low speed l;ow angle,
